0,2,3,5,1,5,5,4,4,3,5,1,1,2,3,2,2,1,3,3,2,2,5,3,4,3,3,2,2,4,1,
1,3,2,2,4,5,3,3,5,1,5,4,2,3,4,4,5,2,2,4,4,3,5,3,3,3,5,4,2,5,4,
2,2,1,1,3,4,2,1,3,5,4,2,1,1,5,1,1,2,2,4,4,5,4,5,5,2,1,2,2,2,4,
3,5,5,2,4,3,4,4,3,5,2,4,1,5,4,5,1,3,2,4,2,2,1,5,3,1,5,3,4,3,3,
4,2,1,2,2,1,3,1,5,2,3,1,1,2,5,2,1,3,2,3,3,3,3,4,4,1,5,5,4,2,4,
5,3,2,2,1,4,4,1,2,3,1,1,5,5,3,4,4,1,2,3,1,2,2,5,1,2,2,4,5,4,5,
6,2,5,4,5,4,4,1,4,3,3,4,4,4,4,3,2,1,3,4,5,5,2,1,2,1,5,5,2,4,4,
7,5,4,5,5,5,3,1,1,4,4,4,3,5,4,4,1,4,4,1,2,4,2,5,4,5,3,3,3,4,3,
8,4,5,1,3,4,2,1,4,2,2,3,5,3,1,4,2,3,2,1,4,5,3,5,2,2,4,3,2,2,5,
9,3,2,3,5,1,3,1,1,4,5,2,4,2,5,1,4,3,1,3,1,4,2,3,3,3,3,5,5,2,5,
10,2,5,4,3,1,1,5,5,2,3,1,1,4,4,5,4,5,2,3,5,5,3,2,5,4,1,3,2,2,1,
11,4,3,1,5,5,2,2,2,2,4,4,1,1,4,3,4,3,1,4,2,2,4,2,3,2,5,2,3,5,2,
12,1,1,4,2,5,5,3,5,4,5,5,1,1,5,2,4,5,3,4,4,3,1,4,2,3,1,3,5,5,5,
13,5,5,3,5,4,1,3,3,4,3,4,1,4,4,3,1,3,1,4,3,3,5,3,1,4,5,4,3,2,2,
14,4,3,1,4,1,2,3,3,3,2,5,1,3,1,4,5,1,1,1,4,2,1,2,3,1,1,1,5,1,5,
15,5,1,2,5,4,3,2,2,4,4,2,5,4,5,5,3,1,3,1,2,1,3,1,1,2,3,4,4,5,5,
16,3,2,1,3,3,5,1,3,5,4,4,1,3,3,4,2,3,2,1,1,5,1,3,2,1,2,2,2,2,3,
17,4,1,1,5,4,4,1,2,3,5,1,4,4,4,1,3,3,1,4,5,4,1,3,5,3,4,4,3,2,1,
18,1,4,4,5,1,1,2,5,1,2,3,1,4,1,2,2,2,3,2,3,3,2,5,2,2,3,3,3,3,2,
19,1,2,4,5,5,1,5,3,2,1,4,3,5,5,5,3,3,5,3,4,3,4,2,1,3,4,1,4,4,3,
20,5,2,2,1,5,1,2,1,2,5,1,4,1,4,5,2,4,5,3,5,2,4,2,1,3,4,2,1,4,2,
21,1,1,3,3,2,3,5,4,3,4,2,4,1,4,1,3,4,1,3,3,3,1,5,2,1,4,1,1,3,5,
22,1,1,4,5,2,1,5,4,1,5,3,1,5,2,4,5,1,4,3,3,5,2,2,3,3,2,5,1,4,5,
23,2,3,1,4,4,3,5,2,3,5,1,4,3,5,1,2,4,1,3,3,5,4,2,4,2,4,1,2,5,1,
24,5,3,5,4,2,5,4,3,1,1,1,5,4,3,4,3,5,4,2,5,4,1,1,3,2,4,5,3,5,1,
25,5,5,1,1,1,4,4,1,2,4,3,3,3,3,1,4,2,4,4,3,1,5,1,1,4,4,3,4,4,3,
26,5,4,5,2,4,3,4,1,2,4,5,4,2,1,5,4,1,1,4,3,2,4,1,2,1,4,4,5,5,4,
27,4,5,3,2,5,1,4,2,2,1,1,2,5,2,5,1,5,3,1,4,3,2,4,3,2,2,4,5,5,1,
28,2,3,1,4,1,2,2,2,5,5,2,3,2,4,3,1,1,2,1,2,1,2,3,2,1,1,3,5,4,4,
29,2,3,4,3,4,5,4,5,4,2,4,5,3,4,5,4,1,1,4,4,1,1,2,5,4,2,4,5,3,2,
30,5,4,3,4,5,1,3,4,2,5,4,5,4,5,2,4,1,2,5,3,1,4,4,5,3,4,3,1,2,5,
31,4,2,5,4,1,5,3,5,4,1,2,5,3,1,1,1,1,5,3,4,3,5,1,1,5,5,1,1,2,2,
32,1,5,1,4,4,4,3,3,2,5,4,4,2,1,4,4,4,5,4,1,2,1,5,2,4,3,4,1,4,1,
33,2,5,1,4,5,4,2,1,2,5,3,4,5,5,2,1,2,2,2,2,2,3,2,5,1,2,2,3,2,5,
34,5,1,3,4,5,2,1,3,4,2,2,4,4,3,3,3,2,3,2,1,5,5,5,2,1,4,2,3,5,1,
35,4,4,2,3,2,5,5,4,3,5,1,3,5,5,4,4,4,2,5,4,2,2,3,4,4,3,2,3,3,1,
36,3,4,3,3,4,1,3,1,4,5,3,4,3,1,1,1,3,3,2,3,4,3,4,2,2,1,5,1,4,5,
